# step time max_velocity mean_velocity
0.000000000000000000e+00 0.000000000000000000e+00 6.780299116723089033e-06 4.347606057527943720e-07
1.000000000000000000e+00 1.000000000000000082e-05 1.345589979548277277e-05 8.569828451005240026e-07
2.000000000000000000e+00 2.000000000000000164e-05 2.003026624191804833e-05 1.267048067315963495e-06
3.000000000000000000e+00 3.000000000000000415e-05 2.650312573818630190e-05 1.665012268857229715e-06
4.000000000000000000e+00 4.000000000000000327e-05 3.287178057981079440e-05 2.050613088447995668e-06
5.000000000000000000e+00 5.000000000000000240e-05 3.932194761013682810e-05 2.423684338792000285e-06
6.000000000000000000e+00 6.000000000000000152e-05 4.597202868259445293e-05 2.784092273517200413e-06
7.000000000000000000e+00 7.000000000000000742e-05 5.271257273793361034e-05 3.131696998213240049e-06
8.000000000000000000e+00 8.000000000000000654e-05 5.955507612165929758e-05 3.466351535933773803e-06
9.000000000000000000e+00 9.000000000000000567e-05 6.650888015225750764e-05 3.787901721406244599e-06
1.000000000000000000e+01 1.000000000000000048e-04 7.358153134753011519e-05 4.096186441858300286e-06
1.100000000000000000e+01 1.100000000000000039e-04 8.077919550739423007e-05 4.391038092680004487e-06
1.200000000000000000e+01 1.200000000000000030e-04 8.810722947546047266e-05 4.672283152811372872e-06
1.300000000000000000e+01 1.300000000000000157e-04 9.557031389859486936e-05 4.939742904248999840e-06
1.400000000000000000e+01 1.400000000000000148e-04 1.034724480635731839e-04 5.193234332595919145e-06
1.500000000000000000e+01 1.500000000000000140e-04 1.116658702820202319e-04 5.432571360867257299e-06
1.600000000000000000e+01 1.600000000000000131e-04 1.200509356180697452e-04 5.657566679119289119e-06
1.700000000000000000e+01 1.700000000000000122e-04 1.286301684716248817e-04 5.868034759320078466e-06
1.800000000000000000e+01 1.800000000000000113e-04 1.374059856168489361e-04 6.063797310764814058e-06
1.900000000000000000e+01 1.900000000000000105e-04 1.463807532443351961e-04 6.244694159985288413e-06
2.000000000000000000e+01 2.000000000000000096e-04 1.555570360212904578e-04 6.410606845123819520e-06
2.100000000000000000e+01 2.100000000000000087e-04 1.649370906345649945e-04 6.561511677883451650e-06
2.200000000000000000e+01 2.200000000000000078e-04 1.745229592658269083e-04 6.697579138971670001e-06
2.300000000000000000e+01 2.300000000000000070e-04 1.843168542415148342e-04 6.819199545473553476e-06
2.400000000000000000e+01 2.400000000000000061e-04 1.943209103654335869e-04 6.926619452095695809e-06
2.500000000000000000e+01 2.500000000000000052e-04 2.045373922230250786e-04 7.019743905070334461e-06
2.600000000000000000e+01 2.600000000000000314e-04 2.149684218215421928e-04 7.098427698733048548e-06
2.700000000000000000e+01 2.700000000000000577e-04 2.256162777196322740e-04 7.162373958365980916e-06
2.800000000000000000e+01 2.800000000000000839e-04 2.364831033566000041e-04 7.211150098976198398e-06
2.900000000000000000e+01 2.900000000000001101e-04 2.475714946443526910e-04 7.244459701965274599e-06
3.000000000000000000e+01 3.000000000000001363e-04 2.588838888247019980e-04 7.262206464795563257e-06
3.100000000000000000e+01 3.100000000000001626e-04 2.704221382002768861e-04 7.264323903778834141e-06
3.200000000000000000e+01 3.200000000000001888e-04 2.821884849229012613e-04 7.250583697289024717e-06
